0 -0.000 0.970 -0.000, 1 0.184 2.367 -0.835, 2 0.338 1.043 0.480, 3 0.367 -1.921 1.422, 4 -0.337 -5.126 1.440, 5 -0.338 0.897 -0.480, 6 -0.459 -2.184 0.588, 7 -1.235 -5.398 1.107, 8 0.369 3.763 -1.671, 9 0.363 5.046 -2.204, 10 0.263 5.108 -2.099, 11 0.252 5.140 -2.407, 12 0.392 5.209 -2.009, 13 0.242 4.902 -2.843, 14 0.682 5.065 -1.775, 15 -0.065 3.642 -2.644, 16 -0.310 2.067 -1.925, 17 -0.648 0.610 -0.998, 18 0.802 3.884 -0.698, 19 0.903 2.430 0.238, 20 0.958 0.975 1.086,
0 0.000 0.970 0.000, 1 0.185 2.375 -0.831, 2 0.338 1.059 0.489, 3 0.367 -1.905 1.432, 4 -0.336 -5.107 1.453, 5 -0.338 0.881 -0.489, 6 -0.459 -2.167 0.598, 7 -1.234 -5.380 1.119, 8 0.370 3.780 -1.662, 9 0.364 5.062 -2.196, 10 0.264 5.124 -2.091, 11 0.253 5.157 -2.399, 12 0.393 5.225 -2.000, 13 0.243 4.919 -2.834, 14 0.683 5.082 -1.767, 15 -0.064 3.658 -2.635, 16 -0.308 2.083 -1.916, 17 -0.647 0.627 -0.989, 18 0.803 3.901 -0.690, 19 0.903 2.447 0.247, 20 0.957 0.992 1.095,
0 0.000 0.970 0.000, 1 0.185 2.375 -0.831, 2 0.338 1.059 0.489, 3 0.366 -1.905 1.432, 4 -0.338 -5.109 1.452, 5 -0.338 0.881 -0.489, 6 -0.459 -2.168 0.598, 7 -1.236 -5.382 1.118, 8 0.370 3.780 -1.662, 9 0.365 5.062 -2.195, 10 0.265 5.125 -2.090, 11 0.254 5.157 -2.399, 12 0.393 5.226 -2.000, 13 0.244 4.919 -2.834, 14 0.684 5.082 -1.767, 15 -0.063 3.659 -2.635, 16 -0.308 2.084 -1.916, 17 -0.646 0.627 -0.989, 18 0.803 3.901 -0.689, 19 0.903 2.447 0.247, 20 0.957 0.992 1.095,
0 0.000 0.970 0.000, 1 0.185 2.375 -0.831, 2 0.338 1.059 0.489, 3 0.366 -1.905 1.432, 4 -0.339 -5.109 1.451, 5 -0.338 0.881 -0.489, 6 -0.459 -2.167 0.597, 7 -1.237 -5.382 1.117, 8 0.370 3.780 -1.662, 9 0.365 5.062 -2.195, 10 0.265 5.125 -2.090, 11 0.254 5.157 -2.398, 12 0.394 5.226 -2.000, 13 0.244 4.919 -2.834, 14 0.684 5.082 -1.767, 15 -0.063 3.659 -2.634, 16 -0.308 2.084 -1.916, 17 -0.647 0.627 -0.989, 18 0.804 3.901 -0.689, 19 0.903 2.447 0.247, 20 0.957 0.992 1.095,
0 -0.000 0.970 -0.000, 1 0.185 2.367 -0.835, 2 0.337 1.042 0.480, 3 0.365 -1.922 1.422, 4 -0.341 -5.130 1.439, 5 -0.337 0.898 -0.480, 6 -0.460 -2.184 0.588, 7 -1.240 -5.401 1.105, 8 0.370 3.763 -1.670, 9 0.357 5.032 -2.190, 10 0.265 5.108 -2.099, 11 0.254 5.140 -2.407, 12 0.393 5.209 -2.008, 13 0.216 4.847 -2.790, 14 0.684 5.065 -1.775, 15 -0.063 3.642 -2.643, 16 -0.308 2.067 -1.925, 17 -0.647 0.611 -0.998, 18 0.803 3.884 -0.698, 19 0.903 2.430 0.238, 20 0.957 0.975 1.086,
0 0.000 0.970 0.000, 1 0.185 2.366 -0.835, 2 0.337 1.042 0.480, 3 0.365 -1.922 1.423, 4 -0.339 -5.126 1.442, 5 -0.337 0.898 -0.480, 6 -0.460 -2.183 0.588, 7 -1.237 -5.399 1.108, 8 0.370 3.763 -1.670, 9 0.358 5.031 -2.190, 10 0.265 5.107 -2.098, 11 0.254 5.139 -2.406, 12 0.394 5.208 -2.007, 13 0.217 4.847 -2.789, 14 0.684 5.064 -1.774, 15 -0.063 3.642 -2.643, 16 -0.308 2.067 -1.925, 17 -0.647 0.611 -0.998, 18 0.803 3.884 -0.697, 19 0.903 2.430 0.239, 20 0.955 1.022 1.104,
0 0.000 0.970 0.000, 1 0.185 2.366 -0.835, 2 0.337 1.042 0.480, 3 0.365 -1.921 1.422, 4 -0.339 -5.125 1.442, 5 -0.337 0.898 -0.480, 6 -0.460 -2.183 0.588, 7 -1.237 -5.397 1.108, 8 0.370 3.762 -1.670, 9 0.365 5.044 -2.202, 10 0.265 5.107 -2.097, 11 0.254 5.139 -2.405, 12 0.394 5.207 -2.007, 13 0.244 4.901 -2.841, 14 0.684 5.064 -1.774, 15 -0.063 3.641 -2.642, 16 -0.308 2.067 -1.925, 17 -0.647 0.611 -0.998, 18 0.803 3.883 -0.697, 19 0.903 2.430 0.238, 20 0.957 0.975 1.086,
0 0.000 0.970 -0.000, 1 0.185 2.366 -0.835, 2 0.337 1.042 0.480, 3 0.365 -1.921 1.422, 4 -0.339 -5.126 1.441, 5 -0.337 0.898 -0.480, 6 -0.460 -2.183 0.588, 7 -1.237 -5.398 1.107, 8 0.370 3.762 -1.670, 9 0.364 5.045 -2.202, 10 0.265 5.107 -2.097, 11 0.254 5.139 -2.405, 12 0.393 5.208 -2.007, 13 0.244 4.901 -2.841, 14 0.684 5.064 -1.774, 15 -0.063 3.641 -2.642, 16 -0.308 2.067 -1.925, 17 -0.647 0.611 -0.998, 18 0.803 3.883 -0.697, 19 0.903 2.430 0.238, 20 0.955 1.022 1.104,
0 -0.000 0.970 -0.000, 1 0.185 2.374 -0.830, 2 0.338 1.059 0.489, 3 0.366 -1.904 1.431, 4 -0.338 -5.107 1.451, 5 -0.338 0.881 -0.489, 6 -0.459 -2.165 0.596, 7 -1.235 -5.379 1.116, 8 0.370 3.778 -1.660, 9 0.358 5.047 -2.180, 10 0.266 5.122 -2.088, 11 0.254 5.155 -2.396, 12 0.394 5.223 -1.997, 13 0.217 4.862 -2.779, 14 0.684 5.080 -1.764, 15 -0.063 3.657 -2.633, 16 -0.308 2.084 -1.916, 17 -0.647 0.628 -0.989, 18 0.804 3.899 -0.688, 19 0.903 2.446 0.248, 20 0.955 1.038 1.113,
0 0.000 0.970 0.000, 1 0.185 2.375 -0.830, 2 0.338 1.059 0.489, 3 0.384 -1.908 1.351, 4 -0.341 -5.112 1.445, 5 -0.338 0.881 -0.489, 6 -0.460 -2.166 0.596, 7 -1.239 -5.383 1.111, 8 0.370 3.779 -1.660, 9 0.358 5.048 -2.179, 10 0.265 5.124 -2.088, 11 0.254 5.156 -2.396, 12 0.394 5.224 -1.997, 13 0.217 4.863 -2.779, 14 0.684 5.081 -1.764, 15 -0.063 3.658 -2.633, 16 -0.308 2.084 -1.916, 17 -0.647 0.628 -0.989, 18 0.804 3.900 -0.687, 19 0.904 2.446 0.248, 20 0.956 1.038 1.113,
